iterID,x1,x2,x3,x4,Pareto_f1,Pareto_f2,Pareto_f3
0,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
0,1.759999990463257,0.2800000011920929,4.03000020980835,2.319999933242798,-0.09678357583271902,-2.4650255882517156,-0.9929920505437851
1,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
1,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
1,1.759999990463257,0.2800000011920929,4.03000020980835,2.319999933242798,-0.09678357583271902,-2.4650255882517156,-0.9929920505437851
2,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
2,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
2,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
3,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
3,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
3,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
3,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
3,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
4,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
4,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
4,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
4,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
4,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
5,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
5,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9277660729901718,-2.356213812134648,-9.790199966239925
5,3.5,0.68,6.349999999999999,1.0,-0.856153929704573,-2.4576719805442826,-4.318
5,2.9599999999999995,1.0,10.0,2.22,-0.8109588158535359,-2.5036969812664776,-10.0
5,3.36,0.27,7.010000000000001,1.47,-0.7277469928597159,-2.556102902523675,-1.8927000000000003
5,2.99,0.14,6.830000000000001,1.8500000000000003,-0.524497698607119,-3.325169740804484,-0.9562000000000003
6,3.27,0.64,5.07,1.91,-0.9351081860872751,-2.0782799979579045,-3.2448
