f1,f2,f3
-0.9530834300832943,-2.1666666666666665,-1.0
-0.9515043314307667,-2.606666666666667,-0.98
-0.945788623970043,-2.513333333333333,-1.0
-0.9018723388212048,-2.6633333333333336,-0.46
-0.8735517922190823,-2.676666666666667,-0.331438390030521
-0.8608548416739635,-3.1966666666666668,-0.53
-0.8593182990242444,-2.883333333333333,-0.66
-0.7813616763278962,-3.27,-0.18000000000000002
-0.6373338533811137,-3.6,-0.7399999999999999
-0.5389401622948861,-3.65,-0.36999999999999994
-0.4304950789223943,-3.67,-0.10000000000000002
-0.0627946967415016,-5.8566666666666665,-0.28
