iterID,x1,x2,x3,x4,f1,rho_f1,mvar_f1,f2,rho_f2,mvar_f2,f3,rho_f3,mvar_f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator,MVaR_Hypervolume_indicator
0,1.759999990463257,0.2800000011920929,4.03000020980835,2.319999933242798,-0.230135191206304,0.010827405224235927,-0.09678357583271902,-3.473333333333333,0.619033333333334,-2.4650255882517156,-0.9929920505437851,0.0,-0.9929920505437851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.589999914169312,0.6600000262260437,9.149999618530273,1.090000033378601,-0.9097787224175122,0.0031108195093639927,-0.8383005413247597,-2.2933333333333334,0.0025333333333333132,-2.2288299857325087,-6.03899998819827,0.0,-6.03899998819827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,0.800000011920929,0.8600000143051147,6.920000076293945,1.9299999475479133,-0.045495818743475774,0.00014706165451202073,-0.02995457365757148,-0.7600000000000001,0.12730000000000002,-0.3027536079436257,-2.3804801013135926,0.0,-2.3804801013135926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.75,0.5099999904632568,7.889999866485596,1.659999966621399,-0.932534615978776,4.683769911320103e-05,-0.9237639239486106,-2.373333333333333,0.03523333333333337,-2.1327791289902955,-4.0238998566627515,0.0,-4.0238998566627515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,1.220000028610229,0.3499999940395355,9.479999542236328,1.4700000286102288,-0.03010968448398495,7.047191362139571e-06,-0.026707607648896885,-1.1633333333333333,0.02863333333333334,-0.9464770350915643,-2.0239799152636504,0.0,-2.0239799152636504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,3.170000076293945,0.9300000071525574,5.139999866485596,1.950000047683716,-0.9388398478177868,0.00034098905997711245,-0.9151748587420996,-2.28,0.0015999999999999808,-2.228737937378216,-4.780199912595748,0.0,-4.780199912595748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,1.440000057220459,0.699999988079071,7.559999942779541,1.289999961853027,-0.043313509226183454,2.7076420225079983e-05,-0.03664495467279511,-1.1833333333333333,0.06163333333333332,-0.8651745525538821,-3.8102400576782194,0.0,-3.8102400576782194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.269999980926514,0.1000000014901161,5.809999942779541,2.309999942779541,-0.1373064765136239,0.014902096328850816,0.01913783224384602,-3.93,2.5207000000000006,-1.8953174232160581,-0.5810000029355286,0.0,-0.5810000029355286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,0.6499999761581421,0.1800000071525574,7.059999942779541,2.049999952316284,-0.08268662824166657,0.009755870686911767,0.043894541028070985,-4.19,19.2027,1.4258724328279904,-0.41300999791502896,0.0,-0.41300999791502896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.990000009536743,0.7699999809265137,6.070000171661377,1.5399999618530267,-0.936912910130239,0.0001365866659242703,-0.9219353787727477,-2.36,0.010799999999999952,-2.226817254557439,-4.673900016403195,0.0,-4.673900016403195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.0,0.9800000190734863,9.989999771118164,2.200000047683716,-0.9380176945371291,6.399012513383177e-05,-0.9277660729901718,-2.51,0.0144,-2.356213812134648,-9.790199966239925,0.0,-9.790199966239925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
0,2.450000047683716,0.3899999856948853,4.880000114440918,1.200000047683716,-0.8869694964307057,0.006415263968206338,-0.7843231842328747,-2.6833333333333336,0.10573333333333342,-2.2666155373428407,-1.9031999748229966,0.0,-1.9031999748229966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.453525037937293,19.799387642046145
1,3.09,0.88,9.45,1.23,-0.9184982130424171,0.0007728048308607174,-0.8828718901601742,-2.2733333333333334,0.0025333333333333132,-2.2088299857325087,-8.315999999999999,0.0,-8.315999999999999,-0.8502585100523523,0.2701784723324646,-0.8502585100523523,-2.486956970689561,0.7992677167338107,-2.486956970689561,-8.316000247836113,1e-05,-8.316000247836113,22.454175289286177,19.845365495384605
1,3.27,0.64,5.07,1.91,-0.9389376940631114,8.929225395694229e-06,-0.9351081860872751,-2.18,0.006300000000000035,-2.0782799979579045,-3.2448,0.0,-3.2448,-0.8514734876951947,0.22365187507692158,-0.8514734876951947,-2.5858964557489386,0.7526755088553502,-2.5858964557489386,-3.244800096702576,1e-05,-3.244800096702576,22.454175289286177,19.845365495384605
2,3.3699999999999997,0.53,8.25,1.02,-0.8839850187860084,0.0034208812512883137,-0.8090292461972237,-2.5066666666666664,0.0005333333333333373,-2.4770705010127636,-4.3725000000000005,0.0,-4.3725000000000005,-0.8628621474670494,0.2544526904972868,-0.8628621474670494,-2.5662933288183236,0.7034670251994111,-2.5662933288183236,-4.372500130310655,1e-05,-4.372500130310655,23.979587362771277,21.527107575011026
