f1,f2,f3
-0.9415008602577345,-2.43,-3.9599999999999995
-0.9388398478177868,-2.28,-4.780199912595748
-0.9380176945371291,-2.51,-9.790199966239925
-0.9076656822833099,-2.546666666666667,-4.121600000000001
-0.9031698167222609,-2.5666666666666664,-4.318
-0.8917796928152754,-2.653333333333333,-10.0
-0.8869694964307057,-2.6833333333333336,-1.9031999748229966
-0.8529986883573235,-3.4599999999999995,-1.029
-0.8459583998637893,-3.86,-0.9430000000000002
-0.7634042014280772,-3.67,-0.9562000000000003
-0.230135191206304,-3.473333333333333,-0.9929920505437851
-0.1373064765136239,-3.93,-0.5810000029355286
-0.08268662824166657,-4.19,-0.41300999791502896
-0.040083285021301325,-7.676666666666667,-2.2334400000000003
