iterID,x1,x2,f1,rho_f1,mvar_f1,f2,rho_f2,mvar_f2,f3,rho_f3,mvar_f3,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Expected_f3,Uncertainty_f3,Acquisition_f3,Hypervolume_indicator,MVaR_Hypervolume_indicator
0,1.76,0.28,-0.0627946967415016,0.002101124823188899,-0.004050900025238613,-5.8566666666666665,16.470433333333336,-0.6556457752360831,-0.28,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,2.35,0.66,-0.8593182990242444,0.026979017133368165,-0.6488197301793888,-2.883333333333333,0.6120333333333334,-1.880742744964618,-0.66,0.0,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,0.77,0.83,-0.03791413898370655,0.0002528591067954078,-0.017535490165926385,-1.3,1.7229,0.3821554267848195,-0.83,0.0,-0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,3.14,0.46,-0.9018723388212048,0.0027067413033126475,-0.8351978859551334,-2.6633333333333336,0.3642333333333333,-1.889894578284557,-0.46,0.0,-0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,1.23,0.38000000000000006,-0.015724541850486867,2.2177470169486827e-05,-0.009689336004857952,-1.3566666666666667,0.012633333333333331,-1.2126227030835786,-0.38000000000000006,0.0,-0.38000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,2.85,0.98,-0.9515043314307667,4.6893292799276246e-05,-0.9427284357878332,-2.606666666666667,0.29863333333333336,-1.906332641948766,-0.98,0.0,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,1.28,0.6999999999999998,-0.027956569231543327,1.9694624776036958e-05,-0.022269219422701006,-1.1633333333333333,0.3544333333333334,-0.4003705304766454,-0.6999999999999998,0.0,-0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,2.62,0.10000000000000002,-0.4304950789223943,0.045176240045486475,-0.15810509962180852,-3.67,0.006100000000000007,-3.5699076230054763,-0.10000000000000002,0.0,-0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,0.57,0.20000000000000004,-0.029744957531623466,0.00032208404665287475,-0.006745335844504322,-1.3133333333333335,0.00043333333333333613,-1.2866557101277656,-0.20000000000000004,0.0,-0.20000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,3.31,0.7399999999999999,-0.6373338533811137,0.2865392200187047,0.048672475959734784,-3.6,2.7877000000000005,-1.460269372768352,-0.7399999999999999,0.0,-0.7399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,1.9400000000000002,0.91,-0.22265212525941092,0.00425625366482552,-0.13904373977388038,-2.3266666666666667,0.6065333333333334,-1.328591104095274,-0.91,0.0,-0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
0,2.15,0.36999999999999994,-0.5389401622948861,0.00452111036788831,-0.45276965692159526,-3.65,0.23709999999999998,-3.025975181717889,-0.36999999999999994,0.0,-0.36999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5587442775645566,1.4216767431042883
1,3.5,1.0,-0.9530834300832943,1.261496133911995e-05,-0.9485316733068975,-2.1666666666666665,0.022533333333333315,-1.9742915899163007,-1.0,0.0,-1.0,-0.4643911794712031,0.2059284880710048,-0.4643911794712031,-3.237021807453867,1.0589502701376998,-3.237021807453867,-0.9886151072008618,0.020040233660395167,-0.9886151072008618,2.594134529083993,1.7694243702298795
1,2.56860242019602,0.331438390030521,-0.8735517922190823,0.003131548597776808,-0.8018358574710299,-2.676666666666667,0.0024333333333333303,-2.613449229118172,-0.331438390030521,0.0,-0.331438390030521,-0.7559513965326512,0.11111825280234051,-0.7559513965326512,-3.2550136934162097,0.7369005210462805,-3.2550136934162097,-0.32933807263939885,0.008000866166040023,-0.32933807263939885,2.594134529083993,1.7694243702298795
1,2.6829713231258,1.0,-0.9399081643339834,0.00016239669002136127,-0.9235767170987841,-2.3000000000000003,0.011099999999999999,-2.1649801643899576,-1.0,0.0,-1.0,-0.912423122391803,0.09502775935354048,-0.912423122391803,-2.547647253870289,0.708819883393823,-2.547647253870289,-0.9962292585157142,0.006054608263887323,-0.9962292585157142,2.594134529083993,1.7694243702298795
1,2.73288995103603,0.525104193043373,-0.9246471821895218,0.0002907055980242599,-0.9027966115668613,-2.483333333333333,0.01363333333333331,-2.333696981266478,-0.525104193043373,0.0,-0.525104193043373,-0.9990291039962038,0.12758332060210115,-0.9990291039962038,-2.8666977366927555,0.844426875952542,-2.8666977366927555,-0.5252970227124536,0.007313420836530247,-0.5252970227124536,2.594134529083993,1.7694243702298795
