iterID,x1,x2,Pareto_f1,Pareto_f2,Pareto_f3
0,2.85,0.98,-0.9515043314307667,-2.606666666666667,-0.98
0,3.14,0.46,-0.9018723388212048,-2.6633333333333336,-0.46
0,2.35,0.66,-0.8593182990242444,-2.883333333333333,-0.66
0,3.31,0.7399999999999999,-0.6373338533811137,-3.6,-0.7399999999999999
0,2.15,0.36999999999999994,-0.5389401622948861,-3.65,-0.36999999999999994
0,2.62,0.10000000000000002,-0.4304950789223943,-3.67,-0.10000000000000002
0,1.76,0.28,-0.0627946967415016,-5.8566666666666665,-0.28
1,3.5,1.0,-0.9530834300832943,-2.1666666666666665,-1.0
1,2.85,0.98,-0.9515043314307667,-2.606666666666667,-0.98
1,2.6829713231258,1.0,-0.9399081643339834,-2.3000000000000003,-1.0
1,3.14,0.46,-0.9018723388212048,-2.6633333333333336,-0.46
1,2.56860242019602,0.331438390030521,-0.8735517922190823,-2.676666666666667,-0.331438390030521
1,2.35,0.66,-0.8593182990242444,-2.883333333333333,-0.66
1,3.31,0.7399999999999999,-0.6373338533811137,-3.6,-0.7399999999999999
1,2.15,0.36999999999999994,-0.5389401622948861,-3.65,-0.36999999999999994
1,2.62,0.10000000000000002,-0.4304950789223943,-3.67,-0.10000000000000002
1,1.76,0.28,-0.0627946967415016,-5.8566666666666665,-0.28
2,3.5,1.0,-0.9530834300832943,-2.1666666666666665,-1.0
2,2.85,0.98,-0.9515043314307667,-2.606666666666667,-0.98
2,2.21,1.0,-0.945788623970043,-2.513333333333333,-1.0
2,3.14,0.46,-0.9018723388212048,-2.6633333333333336,-0.46
2,2.56860242019602,0.331438390030521,-0.8735517922190823,-2.676666666666667,-0.331438390030521
2,2.35,0.66,-0.8593182990242444,-2.883333333333333,-0.66
2,2.51,0.18000000000000002,-0.7813616763278962,-3.27,-0.18000000000000002
2,3.31,0.7399999999999999,-0.6373338533811137,-3.6,-0.7399999999999999
2,2.15,0.36999999999999994,-0.5389401622948861,-3.65,-0.36999999999999994
2,2.62,0.10000000000000002,-0.4304950789223943,-3.67,-0.10000000000000002
2,1.76,0.28,-0.0627946967415016,-5.8566666666666665,-0.28
3,3.5,1.0,-0.9530834300832943,-2.1666666666666665,-1.0
3,2.85,0.98,-0.9515043314307667,-2.606666666666667,-0.98
3,2.21,1.0,-0.945788623970043,-2.513333333333333,-1.0
3,3.14,0.46,-0.9018723388212048,-2.6633333333333336,-0.46
3,2.56860242019602,0.331438390030521,-0.8735517922190823,-2.676666666666667,-0.331438390030521
3,2.22,0.53,-0.8608548416739635,-3.1966666666666668,-0.53
3,2.35,0.66,-0.8593182990242444,-2.883333333333333,-0.66
3,2.51,0.18000000000000002,-0.7813616763278962,-3.27,-0.18000000000000002
3,3.31,0.7399999999999999,-0.6373338533811137,-3.6,-0.7399999999999999
3,2.15,0.36999999999999994,-0.5389401622948861,-3.65,-0.36999999999999994
3,2.62,0.10000000000000002,-0.4304950789223943,-3.67,-0.10000000000000002
3,1.76,0.28,-0.0627946967415016,-5.8566666666666665,-0.28
4,3.5,1.0,-0.9530834300832943,-2.1666666666666665,-1.0
4,2.85,0.98,-0.9515043314307667,-2.606666666666667,-0.98
4,2.21,1.0,-0.945788623970043,-2.513333333333333,-1.0
4,2.9270815456344166,0.7497791738581913,-0.9036104822556417,-2.7361923186373818,-0.7493784472383778
4,2.22,0.53,-0.8608548416739635,-3.1966666666666668,-0.53
4,2.35,0.66,-0.8593182990242444,-2.883333333333333,-0.66
4,3.180218038739024,0.8353571204358325,-0.8521433026660772,-2.9864772749357984,-0.8358943120622448
4,2.51,0.18000000000000002,-0.7813616763278962,-3.27,-0.18000000000000002
4,3.31,0.7399999999999999,-0.6373338533811137,-3.6,-0.7399999999999999
4,2.15,0.36999999999999994,-0.5389401622948861,-3.65,-0.36999999999999994
4,2.00920238606035,0.5344944525430584,-0.44780320351109454,-3.8734712119005112,-0.5345779984542312
4,1.9417214916047387,0.4477962450118482,-0.33023469063798133,-4.511248450967734,-0.4480998580533204
4,1.8936475256896195,0.31766102044891736,-0.2429045842465627,-5.186569848771077,-0.317697705788623
4,1.76,0.28,-0.0627946967415016,-5.8566666666666665,-0.28
