iterID,F_1,F_2,F_3,S_1,S_2,S_3,rho_F_1,rho_F_2,rho_F_3,rho_S_1,rho_S_2,rho_S_3,mvar_F_1,mvar_F_2,x1,x2
1,-0.06249047072656683,-1.791643473299482,-0.04888081776067946,0.17069062154704615,0.8988708779717033,0.048812858199590546,0.0033899611388593506,0.08076486834273434,1.0000110434436529e-06,0.01637282274839823,0.43996662739888115,4.730900761941217e-09,0.012125783821719971,-1.427437277019064,0.5,0.0
1,-0.049579268756972515,-1.73429974846695,-0.045682321344916274,0.17035515808915233,0.8881588399032003,0.04798558721898912,0.0030758035155667163,0.0814715957121575,1.0000109328449084e-06,0.01450669714321677,0.43599138541739724,4.706728023391314e-09,0.021495487661847758,-1.3685035424189964,0.625,0.0
1,-0.038816945266917376,-1.7442325044468303,-0.04274065531791049,0.18623413447052908,0.9598201332328816,0.0473193700059008,0.0029847729632509366,0.09850687209984961,1.0000108611380565e-06,0.01443199539184463,0.5477100090147765,4.690794796846592e-09,0.031198158459880325,-1.3420072361540138,0.75,0.0
1,-0.028725336941329303,-1.833721049022555,-0.040039043399148606,0.20578311928466317,1.0449757055447286,0.04671601654210498,0.0030679063025496776,0.13761951702305628,1.000010820057551e-06,0.015649366130512397,0.8213511482106779,4.681420943686878e-09,0.042258117605378,-1.3583025241584705,0.875,0.0
1,-0.017747800620603084,-2.0192661022395937,-0.037560498165532766,0.22056375269747994,1.0982199154161314,0.04608567027707123,0.003291795420145658,0.20988545849228338,1.000010796817646e-06,0.01777908391676754,1.3487645811313653,4.675908581745337e-09,0.05578015717746559,-1.4321455804217007,1.0,0.0
1,-0.005227804223095486,-2.3222614699681285,-0.03528925307425839,0.22820946332734612,1.1166992813814416,0.04535110483706065,0.0036510963201056203,0.3306392608764224,1.0000107776354676e-06,0.020572819168039942,2.245472120614928,4.671315894000588e-09,0.07220905511010005,-1.5853534277352583,1.125,0.0
1,0.0077901231676244746,-2.7533786567378984,-0.033212280441796735,0.22945841082786766,1.1156090536043426,0.044449904539222894,0.0041722107798672125,0.5140816039025433,1.0000107507560019e-06,0.023965931946238507,3.5868856530146718,4.665120938970093e-09,0.09056893832866776,-1.834512794085074,1.25,0.0
1,0.01817168827504365,-3.2888076310048264,-0.031320766301365814,0.22561427343030233,1.1030165850795162,0.043335105299988685,0.004910455354329439,0.759752175593195,1.0000107081655105e-06,0.028095725459657935,5.2964255295465925,4.655592779263878e-09,0.10797595454723194,-2.1717590487808147,1.375,0.0
1,0.021037234128176083,-3.855449891671859,-0.029611406288386113,0.21813656864142333,1.0758653220051921,0.04197501893331315,0.005947213731855665,1.0323512469508789,1.0000106459435743e-06,0.03328833867091248,7.039028250738895,4.64186573471045e-09,0.11986815881588406,-2.553333431657574,1.5,0.0
1,0.011100057829598553,-4.340340305738724,-0.028087393056327892,0.20968286774519948,1.038921503459588,0.04035297031408351,0.0073888954223971385,1.2526707784121003,1.0000105636753428e-06,0.04003999524101383,8.253018495237422,4.623815106404567e-09,0.12126054438427321,-2.905992217905845,1.625,0.0
1,-0.01509891363987544,-4.630463521557322,-0.026758982918864752,0.20372275897736905,1.0146042075399233,0.03846765507896379,0.009353741036036683,1.32732370752628,1.0000104635516494e-06,0.04887759456198221,8.406506517952504,4.60187139782054e-09,0.1088460134992519,-3.1539939154146968,1.75,0.0
1,-0.05691218120758844,-4.674100933510006,-0.02564355554203482,0.20129367831582984,1.0176191682759042,0.036334852345631365,0.011918204231310554,1.2133089203653364,1.0000103498107741e-06,0.059874479895795106,7.347669341355838,4.5769125801958424e-09,0.08299548014101225,-3.262468003715198,1.875,0.0
1,-0.10899525396860807,-4.516067130175224,-0.024765114032762988,0.1988858941406272,1.0303384174241137,0.033991353554602324,0.015011550545528734,0.9583604921247781,1.0000102289819625e-06,0.07185267789666097,5.470096155820212,4.5503344674906366e-09,0.048022536576618535,-3.2614808426859487,2.0,0.0
1,-0.16352456462545695,-4.262143120258601,-0.024153212359296503,0.19097937077903135,1.0227665766396021,0.0315022061104617,0.018317180207064354,0.6670179937623799,1.0000101109145828e-06,0.08205945952875861,3.4935667577229963,4.524298844764344e-09,0.009921877049692746,-3.2154849681382958,2.125,0.0
1,-0.21397065520285952,-4.010701336916453,-0.023841342480869714,0.17359559259974963,0.9740327732306295,0.02897255374917344,0.021315004079459382,0.4268410344697822,1.0000100099182106e-06,0.08753936473208111,1.9882194285332317,4.502009948047179e-09,-0.02686849765539015,-3.1734243251997505,2.25,0.0
1,-0.2579659731093135,-3.8103411245797703,-0.023864868112457315,0.14624754724068986,0.8740446591452976,0.026564634079972848,0.023547320732026474,0.2693586543552991,1.0000099447733737e-06,0.08786240626760741,1.0979456364979532,4.487727183280717e-09,-0.06131013893293541,-3.1452187580844573,2.375,0.0
1,-0.29770109779093545,-3.656339506309108,-0.024258664054349326,0.11527797189658004,0.7444270413719455,0.024516070240430773,0.024940744211638742,0.18429887799192293,1.0000099362296804e-06,0.08636146095414626,0.6736759406807064,4.486170442812529e-09,-0.09531028725846255,-3.1061688401020193,2.5,0.0
1,-0.3376005331965042,-3.513107564727942,-0.025054715078542032,0.10058820388322877,0.6809632417660598,0.0231420689077726,0.02582241904592384,0.1504456287101986,1.0000100013463612e-06,0.08812099462257736,0.5331625911964967,4.501154632289617e-09,-0.13166345450909867,-3.0160280424533275,2.625,0.0
