iterID,x1,x2,ParetoFamily,Pareto_f1,Pareto_f2,Pareto_f3
1,2.7439234382830993,0.6817401874184753,0.0,-0.7671808651458322,-6.325228463616668,-0.7407940717632007
1,2.790420161516779,0.6678515165372942,0.0,-0.7658083757895857,-6.353648570902764,-0.7368596100420972
1,2.803521531046634,0.6469506550918555,0.0,-0.764714431038618,-6.37138701195698,-0.7309793688858951
1,2.61213921482011,0.6158822245183905,0.0,-0.7565328995762768,-6.3996187640772515,-0.7223204608605795
1,2.61213921482011,0.6087755898385326,0.0,-0.7558538172375431,-6.410031331702294,-0.7203420877789058
1,2.8246817974060088,0.8181127310792788,0.0,-0.7546623202698037,-6.297264073521729,-0.7799934531840303
1,2.916729455770466,0.7190980250978998,0.0,-0.7498638988785506,-6.444989617943824,-0.7513756971584918
1,2.93147266040348,0.661133240301123,0.0,-0.7498480544477445,-6.458167144972543,-0.7349180305414331
1,2.767498799125758,0.9219741272450847,0.0,-0.7421021897830732,-6.169767539825356,-0.8090505940205921
1,2.9812546387173713,0.6295207617402508,0.0,-0.7413506867704969,-6.497694187310412,-0.7260409599166093
1,2.7581484369520424,0.93029979915828,0.0,-0.7404867499756558,-6.155575105024038,-0.8112447753014149
1,2.840949761207113,0.926843645109785,0.0,-0.737545343126849,-6.251748749218185,-0.8103473287123077
1,3.0220914907468255,0.661133240301123,0.0,-0.7307806797134178,-6.566449820144427,-0.7348706928343667
1,2.7581484369520424,0.9823717552958777,0.0,-0.7292547198417492,-6.126525876005378,-0.824270101680078
1,2.9843576570536774,0.8052782698707632,0.0,-0.7277982967656382,-6.542179435302936,-0.7762131513438499
1,2.816200420229644,0.9896912912844136,0.0,-0.7267110589900998,-6.184823126661797,-0.8259951475345595
1,2.941568904609895,0.9610540493137683,0.0,-0.7171350879958722,-6.384796108981459,-0.8190504254126061
1,3.061360043459122,0.7012607612681114,0.0,-0.7170212333016521,-6.655550771473412,-0.7461924563438869
1,3.103904109989037,0.6458241712282774,0.0,-0.7103057411573673,-6.669138589690331,-0.7305257668507399
1,2.946805260306098,0.9995153869962926,0.0,-0.7092044175508774,-6.367659303324755,-0.8281606277054883
1,3.1078719891436144,0.6867676307197113,0.0,-0.7048455579222592,-6.721580458247492,-0.7420425111075514
1,3.0578038645687253,0.8442935677021701,0.0,-0.7032473953235268,-6.673812545551556,-0.7873708814100457
1,3.0466433077022788,0.906185497399824,0.0,-0.6995850278721301,-6.618810597051716,-0.8046599943424368
1,3.0466433077022788,0.9442824339688944,0.0,-0.6948191921939222,-6.590327894900742,-0.8146903705488625
1,3.1504974149662632,0.7168881309966257,0.0,-0.687807597644265,-6.824626963029539,-0.7505690436688782
1,3.1534538341311165,0.7329765244289803,0.0,-0.6848422041931161,-6.843182577497369,-0.7551711687683005
1,3.1509669695718294,0.7549760243321553,0.0,-0.68301130649951,-6.852584300429036,-0.7615013830946515
1,3.157282525573548,0.7915859892733536,0.0,-0.6766837307215368,-6.876431386975128,-0.7720683385277984
1,3.1755877121782587,0.7435087352380201,0.0,-0.6761308738477487,-6.890210371338779,-0.7581709721583125
1,2.4857375561622437,0.3711241451042428,0.0,-0.6692943341735564,-7.005395090759517,-0.653993733291705
1,3.1738257255437485,0.8260080238988241,0.0,-0.6673916354922396,-6.905853338305181,-0.7819674154710703
1,3.2222858449217573,0.7066538235529238,0.0,-0.6653011044105439,-6.932865818065373,-0.7475761511356531
1,3.143336654646495,0.9564957917870619,0.0,-0.6646754576217346,-6.7592688319479315,-0.8175570668404846
1,2.4046535574928773,0.39454781346472867,0.0,-0.6625802999260513,-7.068907718711406,-0.6607019181611792
1,2.34003152305291,0.42145465324935577,0.0,-0.6560668850083992,-7.114979877029151,-0.6683193471241998
1,2.3306708474492908,0.414159426670598,0.0,-0.6509935283314323,-7.155669078668314,-0.6662749148036862
1,3.2222858449217573,0.853581780152691,0.0,-0.6481790261515177,-6.9780160883738445,-0.7897392268044312
1,3.244765634637613,0.7915442346888822,0.0,-0.6467303629709724,-7.023444488969977,-0.771921753827457
1,2.2579878795990926,0.4200693290551235,0.0,-0.6308006987979193,-7.314530894899307,-0.6679690378835919
1,2.2569680337370834,0.41194886747226955,0.0,-0.6279783076201635,-7.343605828081291,-0.6656924878870023
1,2.184130214141022,0.49582447425703785,0.0,-0.6213781638019784,-7.25683934782925,-0.689046076232224
1,3.3220001139837723,0.8120579367231188,0.0,-0.6188336946467714,-7.110769705565297,-0.7776741841230969
1,3.3473267787756704,0.7716667325936845,0.0,-0.615249350973197,-7.12246909769336,-0.7660097692623999
1,2.184130214141022,0.4539746970778343,0.0,-0.6133816789427087,-7.415095455081111,-0.6774522203136466
1,2.1724936087265547,0.47479584609616277,0.0,-0.6130973929248904,-7.3715973145226155,-0.6832292540306498
1,2.176546406075389,0.44803188291478246,0.0,-0.6091422951296889,-7.46178015934436,-0.6758019438150914
1,3.334675913342184,0.8917445074262753,0.0,-0.6083708406618953,-7.077132743982803,-0.800047159276626
1,2.176546406075389,0.4320149958907926,0.0,-0.6053326530968482,-7.522449323213674,-0.671341329776218
1,2.266525550560025,0.33698281914440587,0.0,-0.6040375606067634,-7.5500030714469775,-0.6444660988672749
1,3.366094065736064,0.8682372404982704,0.0,-0.6003513362357612,-7.113424604632808,-0.7934719089756219
1,2.166279265802053,0.3919933627647415,0.0,-0.5906242064533829,-7.708497982405618,-0.6601397689264785
1,2.1519836277148303,0.40492310268479076,0.0,-0.5890043777406593,-7.71324640119552,-0.6637777889161718
